Roll No,NationalITy,WT,DSBDA,AI,Average,Grade,PG
1,India,72,72,74,72.6666666667,C,Yes
2,Japan,69,90,,53,B,No
,,,,,,,
4,China,47,,44,30.3333333333,D,Yes
5,India,76,78,,51.3333333333,C,No
6,Japan,71,83,78,77.3333333333,C,Yes
7,China,88,95,92,91.6666666667,A,No
8,India,40,43,39,40.6666666667,D,Yes
9,India,64,64,67,65,D,No
10,China,38,60,50,49.3333333333,D,Yes
11,Japan,,54,52,35.3333333333,D,No
12,Rassia,40,52,43,45,D,Yes
13,Rassia,65,81,73,73,C,No
14,USA,78,72,70,73.3333333333,C,No
15,Japan,,53,58,37,D,No
16,USA,69,75,78,74,C,No
17,India,88,89,,59,B,Yes
18,Rassia,18,32,28,26,D,Yes
19,India,46,42,46,44.6666666667,D,Yes
20,Rassia,54,58,61,57.6666666667,D,No
21,India,66,69,63,66,D,No
22,Japan,65,75,70,70,C,Yes
23,China,44,54,53,50.3333333333,D,Yes
24,Rassia,69,73,73,71.6666666667,C,No
25,USA,74,71,80,75,C,Yes
26,Japan,73,74,72,73,C,No
27,USA,69,54,55,59.3333333333,D,Yes
28,Rassia,67,69,75,70.3333333333,C,No
29,USA,,70,65,45,D,Yes
30,Japan,62,70,75,69,D,No
31,USA,69,74,74,72.3333333333,C,Yes
32,Rassia,63,65,61,63,D,No
33,USA,56,72,65,64.3333333333,D,Yes
34,Japan,40,,38,26,D,No
35,USA,97,87,82,88.6666666667,B,Yes
36,Rassia,81,81,79,80.3333333333,B,No
37,USA,74,81,83,79.3333333333,C,Yes
38,Japan,50,64,59,57.6666666667,D,Yes
39,USA,75,90,88,84.3333333333,B,Yes
40,USA,57,56,57,56.6666666667,D,No
41,Rassia,55,61,54,56.6666666667,D,No
42,USA,58,73,68,66.3333333333,D,Yes
43,Japan,53,58,,37,D,No
44,USA,59,65,66,63.3333333333,D,Yes
45,Japan,50,56,54,53.3333333333,D,No
46,USA,65,54,57,58.6666666667,D,Yes
47,Rassia,,65,62,42.3333333333,D,No
48,USA,66,71,76,71,C,Yes
49,Japan,57,74,76,69,D,No
50,USA,82,84,82,82.6666666667,B,Yes
51,Rassia,53,55,48,52,D,Yes
52,USA,77,69,68,71.3333333333,C,Yes
53,Japan,53,44,42,46.3333333333,D,Yes
54,USA,88,78,75,80.3333333333,B,Yes
55,Rassia,71,84,87,80.6666666667,B,No
56,Rassia,33,41,43,39,D,No
57,India,82,85,86,84.3333333333,B,No
58,Japan,52,55,,35.6666666667,D,No
59,China,58,59,58,58.3333333333,D,No
60,Rassia,70,50,20,46.6666666667,D,Yes
61,USA,79,74,72,75,C,No
62,Japan,39,39,34,37.3333333333,D,Yes
63,USA,62,61,55,59.3333333333,D,No
64,Rassia,69,80,71,73.3333333333,C,Yes
65,USA,,58,59,39,D,No
66,Japan,67,64,61,64,C,Yes
67,USA,45,37,37,39.6666666667,D,No
68,Rassia,60,72,74,68.6666666667,D,Yes
69,Rassia,61,58,56,58.3333333333,D,Yes
70,Rassia,39,64,,34.3333333333,D,Yes
71,Rassia,58,63,73,64.6666666667,D,Yes
72,Rassia,63,55,63,60.3333333333,D,No
73,India,41,51,48,46.6666666667,D,No
74,Japan,61,57,56,58,D,No
75,China,49,49,41,46.3333333333,D,No
76,Rassia,44,41,38,41,D,No
77,USA,30,26,22,26,D,Yes
78,Japan,80,78,81,79.6666666667,C,Yes
79,USA,61,74,72,69,D,Yes
80,Rassia,62,68,,43.3333333333,A,No
81,USA,,49,50,33,B,Yes
82,Japan,49,45,45,46.3333333333,C,No
83,USA,50,47,54,50.3333333333,D,Yes
84,Rassia,72,64,63,66.3333333333,A,No
85,Rassia,42,39,34,38.3333333333,B,Yes
86,Rassia,73,80,82,78.3333333333,B,No
87,India,76,83,88,82.3333333333,A,Yes
88,Japan,71,71,74,72,A,No
89,China,58,70,67,65,D,Yes
90,Rassia,,86,82,56,A,No
91,USA,65,72,74,70.3333333333,A,Yes
92,Japan,27,34,36,32.3333333333,D,Yes
93,USA,71,79,71,73.6666666667,B,Yes
94,Rassia,43,45,50,46,B,No
95,USA,79,,,26.3333333333,A,No
96,Japan,78,81,82,80.3333333333,A,No
97,USA,65,66,62,64.3333333333,B,No
98,Rassia,63,72,70,68.3333333333,B,Yes
99,India,58,67,,41.6666666667,B,No
